"Resource Name","Resource Type","Resource Group",Location,Subscription
asa-dev-042,Microsoft.StreamAnalytics/streamingjobs,rg-staging,eastus2,Subscription-Shared
relay-shrd-043,Microsoft.Relay/namespaces,rg-backup,northeurope,Subscription-Staging
vpngw-prod-044,Microsoft.Network/vpnGateways,rg-cache,australiaeast,Subscription-Staging
tm-dr-045,Microsoft.Network/trafficManagerProfiles,rg-services,westus2,Subscription-Dev
cosmos-dr-046,Microsoft.DocumentDB/databaseAccounts,rg-security,brazilsouth,Subscription-Prod
evhns-shrd-047,Microsoft.EventHub/namespaces,rg-cache,westus2,Subscription-Shared
webapp-dr-048,Microsoft.Web/sites,rg-integration,koreacentral,Subscription-Prod
apim-stg-049,Microsoft.ApiManagement/service,rg-containers,eastasia,Subscription-Dev
apim-dr-050,Microsoft.ApiManagement/service,rg-functions,australiaeast,Subscription-Staging
law-shrd-051,Microsoft.OperationalInsights/workspaces,rg-production,westeurope,Subscription-Staging
redis-stg-052,Microsoft.Cache/redis,rg-dev,centralus,Subscription-Dev
adf-stg-053,Microsoft.DataFactory/factories,rg-shared,southindia,Subscription-Staging
actgrp-dr-054,Microsoft.Insights/actionGroups,rg-network,westus2,Subscription-Prod
dns-stg-055,Microsoft.Network/dnsZones,rg-network,koreacentral,Subscription-Staging
cosmos-dr-056,Microsoft.DocumentDB/databaseAccounts,rg-security,westus2,Subscription-Staging
image-shrd-057,Microsoft.Compute/images,rg-infra,centralus,Subscription-Prod
nic-prod-058,Microsoft.Network/networkInterfaces,rg-monitoring,australiaeast,Subscription-Staging
nic-dr-059,Microsoft.Network/networkInterfaces,rg-services,canadacentral,Subscription-Dev
nsg-stg-060,Microsoft.Network/networkSecurityGroups,rg-shared,japaneast,Subscription-Shared
redis-dev-061,Microsoft.Cache/redis,rg-monitoring,southeastasia,Subscription-Staging
mysql-dr-062,Microsoft.DBforMySQL/servers,rg-staging,eastasia,Subscription-Shared
blk-dr-063,Microsoft.Blockchain/blockchainMembers,rg-containers,brazilsouth,Subscription-Prod
cosmos-dev-064,Microsoft.DocumentDB/databaseAccounts,rg-services,australiaeast,Subscription-Dev
actgrp-dev-065,Microsoft.Insights/actionGroups,rg-functions,centralus,Subscription-Shared
disk-dev-066,Microsoft.Compute/disks,rg-backup,australiaeast,Subscription-Shared
lb-prod-067,Microsoft.Network/loadBalancers,rg-production,eastasia,Subscription-Dev
blob-dr-068,Microsoft.Storage/storageAccounts/blobServices,rg-production,canadacentral,Subscription-Prod
mysql-shrd-069,Microsoft.DBforMySQL/servers,rg-infra,southindia,Subscription-DR
iothub-stg-070,Microsoft.Devices/IotHubs,rg-dev,eastus2,Subscription-DR
adls-shrd-071,Microsoft.DataLakeStore/accounts,rg-functions,northeurope,Subscription-DR
vnet-shrd-072,Microsoft.Network/virtualNetworks,rg-core,centralus,Subscription-Dev
sf-shrd-073,Microsoft.ServiceFabric/clusters,rg-functions,japaneast,Subscription-Dev
fw-shrd-074,Microsoft.Network/azureFirewalls,rg-core,eastasia,Subscription-Prod
actgrp-dev-075,Microsoft.Insights/actionGroups,rg-infra,eastus2,Subscription-Dev
blob-dev-076,Microsoft.Storage/storageAccounts/blobServices,rg-cache,japaneast,Subscription-Shared
fd-shrd-077,Microsoft.Network/frontDoors,rg-database,westeurope,Subscription-Prod
role-dev-078,Microsoft.Authorization/roleAssignments,rg-dev,australiaeast,Subscription-Shared
syn-stg-079,Microsoft.Synapse/workspaces,rg-backup,eastasia,Subscription-DR
privdns-prod-080,Microsoft.Network/privateDnsZones,rg-cache,eastasia,Subscription-Shared
blk-dr-081,Microsoft.Blockchain/blockchainMembers,rg-staging,australiaeast,Subscription-Staging
cog-stg-082,Microsoft.CognitiveServices/accounts,rg-core,brazilsouth,Subscription-Shared
mariadb-prod-083,Microsoft.DBforMariaDB/servers,rg-infra,westus2,Subscription-Staging
alert-shrd-084,Microsoft.Insights/metricAlerts,rg-dr,eastus2,Subscription-DR
sqlsrv-dev-085,Microsoft.Sql/servers,rg-integration,westus2,Subscription-Prod
search-dev-086,Microsoft.Search/searchServices,rg-monitoring,centralus,Subscription-Shared
pe-shrd-087,Microsoft.Network/privateEndpoints,rg-core,westus,Subscription-Shared
aks-dr-088,Microsoft.ContainerService/managedClusters,rg-network,westus2,Subscription-DR
appgw-shrd-089,Microsoft.Network/applicationGateways,rg-infra,japaneast,Subscription-Shared
appins-dr-090,Microsoft.Insights/components,rg-containers,brazilsouth,Subscription-Prod
aml-dr-091,Microsoft.MachineLearningServices/workspaces,rg-core,centralus,Subscription-Prod
alert-shrd-092,Microsoft.Insights/metricAlerts,rg-shared,eastasia,Subscription-Prod
cosmos-dr-093,Microsoft.DocumentDB/databaseAccounts,rg-dr,eastasia,Subscription-Shared
acr-dr-094,Microsoft.ContainerRegistry/registries,rg-cache,southeastasia,Subscription-Shared
nic-dr-095,Microsoft.Network/networkInterfaces,rg-aks,westus3,Subscription-Dev
evgt-shrd-096,Microsoft.EventGrid/topics,rg-dr,brazilsouth,Subscription-Prod
nsg-dr-097,Microsoft.Network/networkSecurityGroups,rg-core,australiaeast,Subscription-Shared
vmss-dr-098,Microsoft.Compute/virtualMachineScaleSets,rg-backup,westeurope,Subscription-Prod
vmss-dev-099,Microsoft.Compute/virtualMachineScaleSets,rg-dr,northeurope,Subscription-Staging
asp-prod-100,Microsoft.Web/serverfarms,rg-services,centralus,Subscription-Staging
vm-stg-101,Microsoft.Compute/virtualMachines,rg-dr,eastus,Subscription-Shared
snapshot-prod-102,Microsoft.Compute/snapshots,rg-network,westus,Subscription-DR
asp-shrd-103,Microsoft.Web/serverfarms,rg-database,westus,Subscription-Shared
aa-stg-104,Microsoft.Automation/automationAccounts,rg-aks,koreacentral,Subscription-Shared
privdns-stg-105,Microsoft.Network/privateDnsZones,rg-services,francecentral,Subscription-Shared
sb-prod-106,Microsoft.ServiceBus/namespaces,rg-storage,koreacentral,Subscription-Dev
search-shrd-107,Microsoft.Search/searchServices,rg-infra,japaneast,Subscription-Dev
cosmos-dr-108,Microsoft.DocumentDB/databaseAccounts,rg-staging,northeurope,Subscription-DR
appins-dev-109,Microsoft.Insights/components,rg-integration,eastus,Subscription-DR
blk-dev-110,Microsoft.Blockchain/blockchainMembers,rg-dr,westeurope,Subscription-Prod
kv-shrd-111,Microsoft.KeyVault/vaults,rg-staging,australiaeast,Subscription-Prod
fd-prod-112,Microsoft.Network/frontDoors,rg-infra,centralus,Subscription-DR
law-stg-113,Microsoft.OperationalInsights/workspaces,rg-containers,eastus,Subscription-Shared
adls-stg-114,Microsoft.DataLakeStore/accounts,rg-webapp,uksouth,Subscription-Shared
sqlsrv-dr-115,Microsoft.Sql/servers,rg-services,australiaeast,Subscription-Dev
dns-dev-116,Microsoft.Network/dnsZones,rg-functions,francecentral,Subscription-Shared
sf-dev-117,Microsoft.ServiceFabric/clusters,rg-security,francecentral,Subscription-Staging
alert-dr-118,Microsoft.Insights/metricAlerts,rg-integration,westus3,Subscription-DR
tm-prod-119,Microsoft.Network/trafficManagerProfiles,rg-infra,southindia,Subscription-DR
cosmos-dr-120,Microsoft.DocumentDB/databaseAccounts,rg-monitoring,canadacentral,Subscription-Staging
sqldb-dr-121,Microsoft.Sql/servers/databases,rg-network,francecentral,Subscription-Dev
sb-dev-122,Microsoft.ServiceBus/namespaces,rg-services,koreacentral,Subscription-Staging
mariadb-stg-123,Microsoft.DBforMariaDB/servers,rg-core,francecentral,Subscription-Dev
mysql-shrd-124,Microsoft.DBforMySQL/servers,rg-security,brazilsouth,Subscription-DR
adls-stg-125,Microsoft.DataLakeStore/accounts,rg-database,australiaeast,Subscription-Prod
law-prod-126,Microsoft.OperationalInsights/workspaces,rg-dr,brazilsouth,Subscription-Dev
acr-dr-127,Microsoft.ContainerRegistry/registries,rg-staging,southeastasia,Subscription-Shared
sqlsrv-shrd-128,Microsoft.Sql/servers,rg-functions,canadacentral,Subscription-Staging
nsg-shrd-129,Microsoft.Network/networkSecurityGroups,rg-integration,centralus,Subscription-Prod
relay-stg-130,Microsoft.Relay/namespaces,rg-monitoring,westus3,Subscription-Dev
relay-stg-131,Microsoft.Relay/namespaces,rg-infra,westus,Subscription-Dev
vnet-dev-132,Microsoft.Network/virtualNetworks,rg-containers,westus3,Subscription-Dev
apim-dev-133,Microsoft.ApiManagement/service,rg-services,australiaeast,Subscription-DR
asa-dr-134,Microsoft.StreamAnalytics/streamingjobs,rg-webapp,uksouth,Subscription-Shared
vpngw-stg-135,Microsoft.Network/vpnGateways,rg-database,westus2,Subscription-DR
vm-dev-136,Microsoft.Compute/virtualMachines,rg-infra,eastus2,Subscription-Dev
media-stg-137,Microsoft.Media/mediaservices,rg-monitoring,japaneast,Subscription-Dev
nsg-dr-138,Microsoft.Network/networkSecurityGroups,rg-shared,northeurope,Subscription-Staging
nsg-dr-139,Microsoft.Network/networkSecurityGroups,rg-core,southeastasia,Subscription-Staging
media-dr-140,Microsoft.Media/mediaservices,rg-services,francecentral,Subscription-Prod
rt-dr-141,Microsoft.Network/routeTables,rg-infra,australiaeast,Subscription-DR
hdi-stg-142,Microsoft.HDInsight/clusters,rg-infra,westeurope,Subscription-Prod
lb-prod-143,Microsoft.Network/loadBalancers,rg-integration,southeastasia,Subscription-Staging
law-dr-144,Microsoft.OperationalInsights/workspaces,rg-services,francecentral,Subscription-Prod
er-stg-145,Microsoft.Network/expressRouteCircuits,rg-dev,eastus2,Subscription-Prod
mi-dev-146,Microsoft.ManagedIdentity/userAssignedIdentities,rg-services,eastus,Subscription-DR
iothub-dev-147,Microsoft.Devices/IotHubs,rg-monitoring,southindia,Subscription-Staging
adf-shrd-148,Microsoft.DataFactory/factories,rg-network,canadacentral,Subscription-Shared
appins-dev-149,Microsoft.Insights/components,rg-core,francecentral,Subscription-Shared
conn-shrd-150,Microsoft.Web/connections,rg-containers,japaneast,Subscription-Staging
tsi-stg-151,Microsoft.TimeSeriesInsights/environments,rg-security,koreacentral,Subscription-Prod
psql-dev-152,Microsoft.DBforPostgreSQL/servers,rg-integration,southindia,Subscription-Staging
blk-prod-153,Microsoft.Blockchain/blockchainMembers,rg-shared,japaneast,Subscription-Dev
iothub-dev-154,Microsoft.Devices/IotHubs,rg-functions,uksouth,Subscription-DR
sqldb-dr-155,Microsoft.Sql/servers/databases,rg-security,canadacentral,Subscription-Prod
dms-dev-156,Microsoft.DataMigration/services,rg-production,eastasia,Subscription-Dev
vm-dev-157,Microsoft.Compute/virtualMachines,rg-backup,centralus,Subscription-DR
kv-stg-158,Microsoft.KeyVault/vaults,rg-storage,westus2,Subscription-Prod
blob-stg-159,Microsoft.Storage/storageAccounts/blobServices,rg-cache,canadacentral,Subscription-Staging
snapshot-stg-160,Microsoft.Compute/snapshots,rg-functions,eastus,Subscription-Shared
search-shrd-161,Microsoft.Search/searchServices,rg-shared,eastus,Subscription-Shared
rsv-shrd-162,Microsoft.RecoveryServices/vaults,rg-cache,northeurope,Subscription-Dev
vpngw-shrd-163,Microsoft.Network/vpnGateways,rg-containers,canadacentral,Subscription-DR
dms-shrd-164,Microsoft.DataMigration/services,rg-production,australiaeast,Subscription-Dev
adf-dr-165,Microsoft.DataFactory/factories,rg-aks,francecentral,Subscription-Dev
apim-dr-166,Microsoft.ApiManagement/service,rg-services,eastasia,Subscription-Shared
mi-prod-167,Microsoft.ManagedIdentity/userAssignedIdentities,rg-functions,northeurope,Subscription-Prod
media-stg-168,Microsoft.Media/mediaservices,rg-dev,canadacentral,Subscription-Dev
hdi-stg-169,Microsoft.HDInsight/clusters,rg-staging,southindia,Subscription-DR
lb-shrd-170,Microsoft.Network/loadBalancers,rg-core,uksouth,Subscription-Dev
asa-dr-171,Microsoft.StreamAnalytics/streamingjobs,rg-shared,westus3,Subscription-Dev
acr-prod-172,Microsoft.ContainerRegistry/registries,rg-backup,australiaeast,Subscription-DR
rt-stg-173,Microsoft.Network/routeTables,rg-dr,westeurope,Subscription-DR
redis-dev-174,Microsoft.Cache/redis,rg-functions,westeurope,Subscription-Shared
aa-prod-175,Microsoft.Automation/automationAccounts,rg-infra,westeurope,Subscription-Prod
aa-stg-176,Microsoft.Automation/automationAccounts,rg-integration,francecentral,Subscription-Prod
kv-prod-177,Microsoft.KeyVault/vaults,rg-core,southeastasia,Subscription-Dev
nhns-stg-178,Microsoft.NotificationHubs/namespaces,rg-monitoring,eastasia,Subscription-Dev
iothub-shrd-179,Microsoft.Devices/IotHubs,rg-services,westus3,Subscription-Shared
evhns-shrd-180,Microsoft.EventHub/namespaces,rg-core,brazilsouth,Subscription-Staging
iothub-shrd-181,Microsoft.Devices/IotHubs,rg-cache,koreacentral,Subscription-DR
rt-stg-182,Microsoft.Network/routeTables,rg-core,canadacentral,Subscription-Staging
mi-shrd-183,Microsoft.ManagedIdentity/userAssignedIdentities,rg-monitoring,westus,Subscription-DR
blob-stg-184,Microsoft.Storage/storageAccounts/blobServices,rg-integration,koreacentral,Subscription-Staging
dms-dev-185,Microsoft.DataMigration/services,rg-storage,westus,Subscription-Prod
sqldb-dr-186,Microsoft.Sql/servers/databases,rg-monitoring,centralus,Subscription-Prod
relay-prod-187,Microsoft.Relay/namespaces,rg-cache,eastus,Subscription-Staging
iothub-stg-188,Microsoft.Devices/IotHubs,rg-webapp,westus3,Subscription-Prod
psql-dr-189,Microsoft.DBforPostgreSQL/servers,rg-monitoring,eastus2,Subscription-DR
relay-stg-190,Microsoft.Relay/namespaces,rg-functions,westus2,Subscription-Staging
alert-dr-191,Microsoft.Insights/metricAlerts,rg-network,eastus,Subscription-DR
dms-dr-192,Microsoft.DataMigration/services,rg-aks,southeastasia,Subscription-Prod
snapshot-dev-193,Microsoft.Compute/snapshots,rg-dr,koreacentral,Subscription-Prod
nhns-shrd-194,Microsoft.NotificationHubs/namespaces,rg-functions,koreacentral,Subscription-Shared
batch-dev-195,Microsoft.Batch/batchAccounts,rg-containers,southeastasia,Subscription-Dev
tsi-dr-196,Microsoft.TimeSeriesInsights/environments,rg-cache,eastus2,Subscription-Dev
tsi-dev-197,Microsoft.TimeSeriesInsights/environments,rg-staging,westeurope,Subscription-Staging
fd-stg-198,Microsoft.Network/frontDoors,rg-staging,westeurope,Subscription-Staging
actgrp-shrd-199,Microsoft.Insights/actionGroups,rg-infra,westeurope,Subscription-Prod
signalr-dr-200,Microsoft.SignalRService/signalR,rg-monitoring,uksouth,Subscription-Dev
blk-dev-201,Microsoft.Blockchain/blockchainMembers,rg-containers,eastus,Subscription-Staging
mi-dr-202,Microsoft.ManagedIdentity/userAssignedIdentities,rg-staging,southindia,Subscription-Dev
logic-dev-203,Microsoft.Logic/workflows,rg-production,westus2,Subscription-Shared
psql-dev-204,Microsoft.DBforPostgreSQL/servers,rg-integration,westus3,Subscription-Staging
kv-stg-205,Microsoft.KeyVault/vaults,rg-production,brazilsouth,Subscription-Staging
blob-shrd-206,Microsoft.Storage/storageAccounts/blobServices,rg-database,northeurope,Subscription-Dev
nhns-stg-207,Microsoft.NotificationHubs/namespaces,rg-aks,southindia,Subscription-DR
media-dev-208,Microsoft.Media/mediaservices,rg-aks,canadacentral,Subscription-Staging
kv-dr-209,Microsoft.KeyVault/vaults,rg-core,southeastasia,Subscription-Shared
vnet-dev-210,Microsoft.Network/virtualNetworks,rg-storage,westus,Subscription-Prod
privdns-stg-211,Microsoft.Network/privateDnsZones,rg-monitoring,australiaeast,Subscription-Shared
sb-prod-212,Microsoft.ServiceBus/namespaces,rg-aks,southindia,Subscription-Shared
hdi-stg-213,Microsoft.HDInsight/clusters,rg-functions,japaneast,Subscription-Dev
storage-dr-214,Microsoft.Storage/storageAccounts,rg-monitoring,japaneast,Subscription-Prod
iothub-dev-215,Microsoft.Devices/IotHubs,rg-webapp,eastus2,Subscription-Staging
logic-shrd-216,Microsoft.Logic/workflows,rg-shared,northeurope,Subscription-Shared
fw-dr-217,Microsoft.Network/azureFirewalls,rg-dr,eastus,Subscription-Dev
iothub-prod-218,Microsoft.Devices/IotHubs,rg-security,francecentral,Subscription-Staging
media-dev-219,Microsoft.Media/mediaservices,rg-backup,centralus,Subscription-Dev
batch-dev-220,Microsoft.Batch/batchAccounts,rg-webapp,eastus2,Subscription-Shared
vnet-dr-221,Microsoft.Network/virtualNetworks,rg-integration,eastasia,Subscription-Dev
sf-dr-222,Microsoft.ServiceFabric/clusters,rg-security,koreacentral,Subscription-Staging
alert-shrd-223,Microsoft.Insights/metricAlerts,rg-dr,eastus2,Subscription-DR
snapshot-shrd-224,Microsoft.Compute/snapshots,rg-containers,japaneast,Subscription-Dev
bastion-dr-225,Microsoft.Network/bastionHosts,rg-storage,canadacentral,Subscription-Staging
nsg-prod-226,Microsoft.Network/networkSecurityGroups,rg-infra,centralus,Subscription-Prod
evhns-dev-227,Microsoft.EventHub/namespaces,rg-webapp,westeurope,Subscription-Shared
appgw-stg-228,Microsoft.Network/applicationGateways,rg-backup,uksouth,Subscription-DR
apim-shrd-229,Microsoft.ApiManagement/service,rg-production,francecentral,Subscription-Dev
vmss-dr-230,Microsoft.Compute/virtualMachineScaleSets,rg-services,eastasia,Subscription-Staging
asp-dr-231,Microsoft.Web/serverfarms,rg-monitoring,koreacentral,Subscription-Staging
health-dr-232,Microsoft.HealthcareApis/services,rg-integration,eastus,Subscription-Staging
dbr-stg-233,Microsoft.Databricks/workspaces,rg-monitoring,eastus2,Subscription-Dev
conn-shrd-234,Microsoft.Web/connections,rg-production,francecentral,Subscription-Dev
evhns-prod-235,Microsoft.EventHub/namespaces,rg-containers,westus3,Subscription-Shared
relay-shrd-236,Microsoft.Relay/namespaces,rg-dev,westeurope,Subscription-DR
er-shrd-237,Microsoft.Network/expressRouteCircuits,rg-aks,brazilsouth,Subscription-DR
batch-prod-238,Microsoft.Batch/batchAccounts,rg-aks,australiaeast,Subscription-Dev
lb-shrd-239,Microsoft.Network/loadBalancers,rg-backup,canadacentral,Subscription-Dev
vm-shrd-240,Microsoft.Compute/virtualMachines,rg-webapp,australiaeast,Subscription-Staging
mysql-dr-241,Microsoft.DBforMySQL/servers,rg-integration,eastus2,Subscription-Dev
blob-prod-242,Microsoft.Storage/storageAccounts/blobServices,rg-security,uksouth,Subscription-Shared
storage-stg-243,Microsoft.Storage/storageAccounts,rg-aks,uksouth,Subscription-Dev
ci-stg-244,Microsoft.ContainerInstance/containerGroups,rg-core,eastus2,Subscription-Staging
mi-prod-245,Microsoft.ManagedIdentity/userAssignedIdentities,rg-integration,australiaeast,Subscription-Dev
image-shrd-246,Microsoft.Compute/images,rg-containers,brazilsouth,Subscription-Prod
nic-dev-247,Microsoft.Network/networkInterfaces,rg-staging,southeastasia,Subscription-Staging
law-dev-248,Microsoft.OperationalInsights/workspaces,rg-functions,brazilsouth,Subscription-Dev
vnet-dev-249,Microsoft.Network/virtualNetworks,rg-staging,westus,Subscription-DR
evgt-dr-250,Microsoft.EventGrid/topics,rg-integration,francecentral,Subscription-Prod
storage-shrd-251,Microsoft.Storage/storageAccounts,rg-core,westus2,Subscription-Staging
pip-prod-252,Microsoft.Network/publicIPAddresses,rg-webapp,southeastasia,Subscription-Shared
storage-shrd-253,Microsoft.Storage/storageAccounts,rg-containers,eastus,Subscription-DR
nhns-prod-254,Microsoft.NotificationHubs/namespaces,rg-backup,westus2,Subscription-DR
vmss-shrd-255,Microsoft.Compute/virtualMachineScaleSets,rg-core,southeastasia,Subscription-Staging
vmss-dr-256,Microsoft.Compute/virtualMachineScaleSets,rg-monitoring,northeurope,Subscription-Prod
rt-dr-257,Microsoft.Network/routeTables,rg-storage,westus3,Subscription-Shared
rt-dev-258,Microsoft.Network/routeTables,rg-webapp,eastasia,Subscription-DR
kv-dr-259,Microsoft.KeyVault/vaults,rg-production,brazilsouth,Subscription-Prod
law-stg-260,Microsoft.OperationalInsights/workspaces,rg-storage,australiaeast,Subscription-Prod
snapshot-dr-261,Microsoft.Compute/snapshots,rg-aks,northeurope,Subscription-Staging
dms-stg-262,Microsoft.DataMigration/services,rg-cache,uksouth,Subscription-Staging
sb-prod-263,Microsoft.ServiceBus/namespaces,rg-database,southeastasia,Subscription-DR
fd-dev-264,Microsoft.Network/frontDoors,rg-shared,eastasia,Subscription-Prod
rt-stg-265,Microsoft.Network/routeTables,rg-storage,northeurope,Subscription-Shared
ci-stg-266,Microsoft.ContainerInstance/containerGroups,rg-monitoring,eastus,Subscription-Prod
aks-shrd-267,Microsoft.ContainerService/managedClusters,rg-integration,northeurope,Subscription-Dev
cdn-stg-268,Microsoft.Cdn/profiles,rg-dev,westus2,Subscription-Shared
tm-shrd-269,Microsoft.Network/trafficManagerProfiles,rg-cache,japaneast,Subscription-Prod
snapshot-prod-270,Microsoft.Compute/snapshots,rg-storage,australiaeast,Subscription-Prod
actgrp-shrd-271,Microsoft.Insights/actionGroups,rg-aks,southeastasia,Subscription-Shared
vnetgw-stg-272,Microsoft.Network/virtualNetworkGateways,rg-network,japaneast,Subscription-DR
privdns-shrd-273,Microsoft.Network/privateDnsZones,rg-integration,australiaeast,Subscription-Dev
apim-prod-274,Microsoft.ApiManagement/service,rg-dev,uksouth,Subscription-Prod
nic-stg-275,Microsoft.Network/networkInterfaces,rg-services,francecentral,Subscription-DR
pe-dr-276,Microsoft.Network/privateEndpoints,rg-aks,japaneast,Subscription-Staging
er-stg-277,Microsoft.Network/expressRouteCircuits,rg-staging,eastus,Subscription-Dev
cosmos-stg-278,Microsoft.DocumentDB/databaseAccounts,rg-monitoring,westeurope,Subscription-DR
cog-prod-279,Microsoft.CognitiveServices/accounts,rg-shared,westus2,Subscription-DR
dbr-shrd-280,Microsoft.Databricks/workspaces,rg-dev,westus3,Subscription-Prod
avset-shrd-281,Microsoft.Compute/availabilitySets,rg-storage,southindia,Subscription-Staging
pip-shrd-282,Microsoft.Network/publicIPAddresses,rg-shared,southindia,Subscription-Prod
law-stg-283,Microsoft.OperationalInsights/workspaces,rg-integration,southindia,Subscription-Dev
blk-dr-284,Microsoft.Blockchain/blockchainMembers,rg-production,canadacentral,Subscription-DR
vnet-dev-285,Microsoft.Network/virtualNetworks,rg-functions,westus3,Subscription-DR
bastion-prod-286,Microsoft.Network/bastionHosts,rg-dev,australiaeast,Subscription-Dev
snapshot-shrd-287,Microsoft.Compute/snapshots,rg-dr,francecentral,Subscription-Staging
rt-shrd-288,Microsoft.Network/routeTables,rg-shared,australiaeast,Subscription-Prod
mariadb-dev-289,Microsoft.DBforMariaDB/servers,rg-webapp,francecentral,Subscription-Prod
aa-dr-290,Microsoft.Automation/automationAccounts,rg-staging,westeurope,Subscription-DR
cosmos-prod-291,Microsoft.DocumentDB/databaseAccounts,rg-security,eastus2,Subscription-DR
adf-dr-292,Microsoft.DataFactory/factories,rg-shared,uksouth,Subscription-Prod
redis-shrd-293,Microsoft.Cache/redis,rg-production,southindia,Subscription-DR
cog-dev-294,Microsoft.CognitiveServices/accounts,rg-integration,brazilsouth,Subscription-Staging
vpngw-shrd-295,Microsoft.Network/vpnGateways,rg-integration,westus3,Subscription-Staging
cosmos-dev-296,Microsoft.DocumentDB/databaseAccounts,rg-dev,eastasia,Subscription-Dev
acr-dev-297,Microsoft.ContainerRegistry/registries,rg-production,westus2,Subscription-Shared
alert-dev-298,Microsoft.Insights/metricAlerts,rg-backup,westus,Subscription-Shared
health-dr-299,Microsoft.HealthcareApis/services,rg-storage,canadacentral,Subscription-Prod
ci-dr-300,Microsoft.ContainerInstance/containerGroups,rg-cache,westus2,Subscription-DR
syn-stg-301,Microsoft.Synapse/workspaces,rg-core,westeurope,Subscription-DR
snapshot-prod-302,Microsoft.Compute/snapshots,rg-aks,francecentral,Subscription-DR
storage-shrd-303,Microsoft.Storage/storageAccounts,rg-backup,northeurope,Subscription-Dev
actgrp-prod-304,Microsoft.Insights/actionGroups,rg-services,canadacentral,Subscription-DR
media-dr-305,Microsoft.Media/mediaservices,rg-functions,northeurope,Subscription-Prod
lb-dr-306,Microsoft.Network/loadBalancers,rg-dev,australiaeast,Subscription-DR
